depth	relative_branching_factor
0	10.0
1	4.0
2	2.3
3	1.8043478260869565
4	1.5060240963855422
5	1.364
6	1.2903225806451613
7	1.225
8	1.202226345083488
9	1.1157407407407407
10	1.126038781163435
11	1.1094710947109472
12	1.0621531631520533
13	1.0564263322884013
14	1.0504451038575668
15	1.0235626767200754
16	1.0138121546961325
17	1.025431425976385
18	1.0150575730735163
19	1.0165794066317626
20	1.0077319587628866
21	1.0059676044330776
22	1.003392705682782
23	1.0084530853761624
24	1.0033557046979866
25	1.00418410041841
26	1.0016666666666667
27	1.0
28	1.0008333333333332
29	1.0025
30	1.00166251039069
31	0.999168744804655
32	0.9991666666666666
33	1.0008347245409015
34	0.998330550918197
35	1.0
36	0.9991638795986622
37	1.0
38	1.000836820083682
39	0.9991638795986622
40	0.9983235540653814
41	0.9966414777497901
42	0.9966273187183811
43	0.9966159052453468
44	0.9983007646559049
45	1.0
46	1.0
47	0.9991460290350128
48	0.997431506849315
49	0.9974226804123711
50	1.003451251078516
51	0.9922346850733391
52	0.9973867595818815
53	0.9929947460595446
54	0.9982332155477032
55	0.992
56	0.9991007194244604
57	0.9927797833935018
58	0.9981785063752276
59	0.989010989010989
60	0.9981447124304267
